lab_id,paper_id,OC_pct,pH,PFAS,soil_conc_ug_kg,leachate_conc_ng_L,Kd_L_per_g,log_Kd_L_per_kg,excel_row
13X,N16,5.59,6.3,PFHxS,0.36117089023636817,1.13,0.3096202568463436,2.4908293665741503,26
13X,N16,5.59,6.3,PFNA,1.0214382666522046,2.57,0.38744679636272555,2.5882120742424393,26
16X,N17,5.25,6.6,PFNA,0.9153223751095279,1.58,0.5693179589300809,2.755354883690729,27
18X,N18,4.83,7.1,PFHxA,0.5601129033076273,10.11,0.045401869763365715,1.6570737385661631,28
18X,N18,4.83,7.1,PFHpA,0.2262214940026,2.03,0.10143915960719213,2.0062056425539136,28
18X,N18,4.83,7.1,PFNA,1.4641456840234865,8.37,0.16492779976385744,2.217293865265289,28
20X,N19,1.43,7.3,PFHxA,0.4308427646451136,26.39,0.006325985776624236,0.8011282111110741,29
20X,N19,1.43,7.3,PFOA,0.5456440050280125,19.8,0.0175577780317178,1.2444695543023239,29
20X,N19,1.43,7.3,PFHxS,0.3705780981416228,1.27,0.2817937780642699,2.449931399766292,29
20X,N19,1.43,7.3,PFNA,0.29703459975765456,8.72,0.024063600889639283,1.381360615916837,29
23X,N20,9.82,5.1,PFHxA,0.4108004661549667,3.29,0.1148633635729382,2.0601815296865555,30
23X,N20,9.82,5.1,PFNA,3.71432079970646,38.03,0.08766817774668577,1.9428419794893912,30
4X,N21,4.07,4.9,PFNA,1.4833705343680106,17.86,0.07305546105084046,1.8636526859184777,31
5X,N22,0.96,6.7,PFPeA,0.29277013598895724,14.1,0.01076383943184094,1.0319672106092226,32
5X,N22,0.96,6.7,PFHxA,0.4260871549101747,26.04,0.006362793967364618,0.8036478606422713,32
5X,N22,0.96,6.7,PFHpA,0.11056280840583681,7.7,0.004358806286472313,0.6393675685851224,32
5X,N22,0.96,6.7,PFOA,0.24236030486795287,0.15,1.6057353657863525,3.205673972668268,32
5X,N22,0.96,6.7,PFHxS,0.09030352896827877,5.54,0.006300275987053929,0.7993595743788675,32
5X,N22,0.96,6.7,PFNA,0.9107180656367484,30.4,0.019957831106471986,1.3001133430800487,32
5X,N22,0.96,6.7,PFOS,0.6131244525938937,1.79,0.3325276271474266,2.5218277333060124,32
7X,N23,1.94,7.3,PFPeA,0.13646888415665176,3.1,0.03402222069569411,1.5317626574367489,33
7X,N23,1.94,7.3,PFHxA,0.37746745433747597,11.52,0.022766272077905905,1.3572919217639272,33
7X,N23,1.94,7.3,PFHpA,0.2245812703306096,9.45,0.0137652137915989,1.1387829609375326,33
7X,N23,1.94,7.3,PFOA,0.4417473620574619,5.22,0.07462593142863255,1.8728897647309393,33
7X,N23,1.94,7.3,PFNA,0.6540664864899545,16.14,0.03052456545786583,1.484649490124068,33
8X,N24,1.92,6.6,PFHpA,0.6916960051719075,1.0,0.6816960051719075,2.8335907489832293,34
32X,N25,4.46,6.9,PFHxA,0.8366376439684537,6.421840511958875,0.12028004080924325,2.080193566778215,35
32X,N25,4.46,6.9,PFHpA,0.5334888809285501,2.2000223350039683,0.23249248402634412,2.3664089176619054,35
32X,N25,4.46,6.9,PFOA,3.8637961395406357,28.944875947654793,0.12348808771984711,2.091625065392793,35
32X,N25,4.46,6.9,PFNA,1.3711053718050819,10.378936318791268,0.12210461358382829,2.08673207357752,35
32X,N25,4.46,6.9,PFOS,32.6341471644908,484.79601060114715,0.05731521392683172,1.7582699177345666,35
37X,N26,5.35,7.1,PFPeA,0.1213001738910098,6.712933188452768,0.008069623290704568,0.9068532612912262,36
44X,N27,1.33,7.7,PFPeA,0.19816353094413647,17.504169105751725,0.001320933301485392,0.12088088912993207,37
44X,N27,1.33,7.7,PFHxA,0.28136245478566296,13.820868169644971,0.010357798897440072,1.0152674746892199,37
44X,N27,1.33,7.7,PFHpA,0.22828286947334908,14.693547186317403,0.005536266810095084,0.7432170119688958,37
44X,N27,1.33,7.7,PFOA,0.40568900723080226,9.97053084840648,0.03068880718579199,1.486980008578587,37
44X,N27,1.33,7.7,PFNA,0.2339670475325933,10.750678935574001,0.011763002033145667,1.0705181720843822,37
45X,N28,4.64,7.0,PFHpA,0.16347918386393184,1.0316389470465324,0.14846550223016935,2.1716255517570158,38
45X,N28,4.64,7.0,PFHxS,0.3149163563022864,3.441183315139795,0.08151397280022359,1.9112320601498092,38
46X,N29,3.21,7.1,PFPrA,1.8228608508167727,10.751112813786321,0.15955089974307493,2.202899257619788,39
46X,N29,3.21,7.1,PFHxA,0.5127320740416618,4.466876545016941,0.1047853693457555,2.020300648525821,39
46X,N29,3.21,7.1,PFHpA,0.3421624777958044,2.0149398955761626,0.15981274654744212,2.203611415368759,39
46X,N29,3.21,7.1,PFNA,1.0000895966659489,1.1222225111164281,0.8811687181101215,2.945059071100948,39
53X,N30,0.23,7.2,PFHxA,0.32171058655788054,0.37724739355367376,0.8427841200633992,2.9257163439343876,40
53X,N30,0.23,7.2,PFHpA,0.7593695894822734,0.6522268715278141,1.1542721614696463,3.062308221548138,40
53X,N30,0.23,7.2,PFNA,0.6494164081256455,7.020232089426031,0.08250640147692627,1.9164876457408415,40
54X,N31,2.26,7.0,PFPeA,0.12571440885907778,5.12130109217747,0.014547357516452258,1.1627841122052605,41
66X,N32,3.51,7.4,PFHxA,2.6614806278326637,115.41241748179141,0.013060608952694062,1.1159634264512543,42
66X,N32,3.51,7.4,PFHpA,1.3119136804623794,51.71835720969255,0.015366499464459274,1.1865749451564656,42
66X,N32,3.51,7.4,PFOA,6.765569658103063,154.15400768366857,0.03388837993746057,1.530050807520215,42
66X,N32,3.51,7.4,PFNA,0.45463276951899806,1.7147576671184512,0.2551294572037001,2.4067606050717507,42
34X,N33,2.92,7.1,PFNA,0.7161170259959273,1.016304650761147,0.694628307525309,2.841752477724435,43
119X,N34,9.12,6.9,PFPrA,1.93071049298399,47.08,0.031009143861172258,1.4914897758632095,44
119X,N34,9.12,6.9,PFPeA,3.855500244125796,193.78,0.00989627538510577,0.9954717719654236,44
119X,N34,9.12,6.9,PFHxA,1.8344159198283547,105.68,0.007358212716013952,0.8667723385448157,44
119X,N34,9.12,6.9,PFHpA,1.061653246983909,69.42,0.005293189959434011,0.7237174800206705,44
119X,N34,9.12,6.9,PFHxS,1.4125697777300183,24.7,0.04718905982712625,1.673841324747938,44
119X,N34,9.12,6.9,PFNA,3.8698360357043007,62.34,0.05207629187847771,1.7166400524793117,44
177X,N35,3.32,6.7,PFPrA,2.566219052268929,15.46,0.15599088307043527,2.193099216637124,45
177X,N35,3.32,6.7,PFPeA,3.36274423768206,229.04,0.004681908128196211,0.6704228874022772,45
177X,N35,3.32,6.7,PFBS,0.2649644005415217,9.64,0.017485933666132953,1.2426888265350988,45
177X,N35,3.32,6.7,PFHpA,1.340691286699844,99.09,0.003530036196385548,0.5477791585917641,45
177X,N35,3.32,6.7,6:2 FTS,0.6728747336817485,14.32,0.03698845905598803,1.568066238927692,45
177X,N35,3.32,6.7,6:2 FTAB,37.686909775076934,284.66,0.12239271332493827,2.0877555627689355,45
177X,N35,3.32,6.7,PFOA,0.9204417634061932,5.98,0.14392002732545037,2.158121232795049,45
177X,N35,3.32,6.7,PFHxS,2.814662371484591,30.91,0.08105992790309256,1.9088062131325063,45
177X,N35,3.32,6.7,PFNA,1.7838190044343052,22.58,0.06899995590940236,1.8388488132255252,45
177X,N35,3.32,6.7,PFOS,11.035520872347496,128.45,0.07591296903345657,1.8803159774569855,45
152X,N36,3.8,7.1,PFPeA,0.3504005536187091,9.02,0.028847068028681717,1.4601016787162724,46
152X,N36,3.8,7.1,PFHxA,2.4028710729680363,23.98,0.09020313064920919,1.9552216107135831,46
152X,N36,3.8,7.1,PFHpA,0.39020912217388637,6.56,0.04948309789236073,1.6944568808407243,46
152X,N36,3.8,7.1,PFHxS,1.4165223804038183,1.16,1.21113998310674,3.0831943416380265,46
152X,N36,3.8,7.1,PFNA,6.393516340976064,39.71,0.15100519619682862,2.1789918919341105,46
165X,N37,3.15,7.1,PFPeA,0.44932804284879657,16.81513456034711,0.016721644197150047,1.2232789782849434,47
165X,N37,3.15,7.1,PFHxA,1.175078395355464,46.8707555685506,0.015070609191201508,1.1781308079237833,47
165X,N37,3.15,7.1,PFHpA,0.35523092950595714,15.469073695938896,0.012963943186799614,1.1127371191116773,47
165X,N37,3.15,7.1,PFOA,1.3804194401453471,12.890518578350669,0.09708796793200625,1.987165411323899,47
165X,N37,3.15,7.1,PFHxS,0.11224256583398036,1.7393226710134244,0.05453234221835429,1.736654151467515,47
165X,N37,3.15,7.1,PFNA,4.183068209150675,65.82043778939668,0.05355272540931876,1.728781577877657,47
103X,N38,2.64,7.2,PFPeA,1.0507377409215997,18.70087970529057,0.04618654081948566,1.6645154366075336,48
103X,N38,2.64,7.2,PFHxA,1.8807497601271381,93.2699093027843,0.010164592998816113,1.0070899937062718,48
103X,N38,2.64,7.2,PFHpA,0.3498247150582501,14.449715280291384,0.014209799866118589,1.1525879612735348,48
103X,N38,2.64,7.2,PFOA,1.1674571380889125,10.646270355821256,0.09965879120762329,1.998515615174565,48
103X,N38,2.64,7.2,PFNA,10.111607149710906,260.0177207310802,0.028888146243573526,1.4607196740000576,48
103X,N38,2.64,7.2,PFDA,0.7714962546800846,1.4062449355016133,0.538621534700773,2.7312837130093066,48
103X,N38,2.64,7.2,PFUnDA,3.9351021882216655,5.50401409042075,0.7049513288983695,2.8481591335580116,48
108X,N39,7.07,4.4,PFHxS,0.3257072186827923,3.94,0.07266680677228231,1.8613360762294897,49
108X,N39,7.07,4.4,PFNA,1.1868478624167729,30.890368078316147,0.02842129233966281,1.4536438217696255,49
108X,N39,7.07,4.4,PFUnDA,1.076506015016305,2.3004423054932355,0.4579561023746224,2.6608238504707695,49
110X,N40,8.61,6.8,PFPeA,0.3151428606742952,3.628086232570366,0.07686200946525684,1.8857117343862624,50
110X,N40,8.61,6.8,PFHxA,1.0203256487962284,25.05512367494381,0.030723233380667663,1.4874669198714094,50
110X,N40,8.61,6.8,PFHpA,0.35925545641543166,3.3159762444184864,0.09834078109580466,1.9927336534584197,50
110X,N40,8.61,6.8,PFNA,3.0880115217728887,16.66957841103666,0.17524832755988393,2.243653882073906,50
120X,N41,2.57,4.3,6:2 FTS,2.2940977514041996,3.2342430284218686,0.699315203354892,2.8446729700554294,51
120X,N41,2.57,4.3,PFNA,0.1818732524506875,7.393104323199806,0.01460039037728214,1.1643644678688863,51
130X,N42,1.92,7.1,PFBA,0.4707906947514733,8.303365265108383,0.046698781725258494,1.6693055508680597,52
130X,N42,1.92,7.1,PFHxA,1.0508194309029064,13.847997338710995,0.0658824113841662,1.818769486546161,52
130X,N42,1.92,7.1,PFHxS,17.443849744830793,8.5,2.042217617038917,3.31010201828152,52
130X,N42,1.92,7.1,PFNA,3.471929254862273,12.350057406950532,0.2711265681168651,2.433172076861925,52
136X,N43,2.07,4.2,PFBA,1.5619260164898081,1.8059266299028636,0.8548889664879799,2.9319097119528,53
136X,N43,2.07,4.2,PFPeA,2.520308687186987,9.722563810939494,0.2492226429361381,2.3965874972788197,53
136X,N43,2.07,4.2,PFHxA,1.7392821295510883,35.86181015845556,0.0384995632363805,1.585455802622636,53
136X,N43,2.07,4.2,PFHpA,1.3966255001422292,2.8625324570926525,0.4778985727067423,2.6793357334575765,53
136X,N43,2.07,4.2,PFNA,5.668746532642975,154.4394365286797,0.02670530442261927,1.4265975330001632,53
136X,N43,2.07,4.2,PFDA,0.4456952988675,4.387953382655251,0.0915724781008953,1.961764967064167,53
136X,N43,2.07,4.2,PFOS,2.8989064232562627,4.547234892973824,0.6275097155714384,2.7976204542748286,53
136X,N43,2.07,4.2,PFUnDA,3.7790596171451725,6.02079276200181,0.617668110584278,2.7907551798470247,53
143X,N44,2.29,6.0,PFNA,0.7646119053598512,20.065599308609556,0.028105610183882163,1.4487930184357998,54
157X,N45,3.48,5.1,PFHxA,0.6225724516409796,14.936490471296342,0.031681307455548924,1.500803096181767,55
157X,N45,3.48,5.1,PFHpA,0.27588878900377417,14.98622072312736,0.0084094972375531,0.9247700322446172,55
157X,N45,3.48,5.1,PFNA,1.2009282729458843,12.21726384014067,0.08829764574618998,1.9459491242676132,55
178X,N46,3.34,5.5,PFHxS,0.2605751093293125,8.8,0.01961080787833096,1.2924954850433172,56
186X,N47,1.83,4.9,PFBS,0.24966862242793947,0.1505283973578595,1.6486147651222807,3.2171191851003176,57
186X,N47,1.83,4.9,PFNA,0.5940508371334405,0.7305738223725755,0.803129103372785,2.904785363928251,57
188X,N48,4.12,5.4,PFBS,0.3690898014699764,2.6837877805264156,0.12752570309325303,2.1055977266253247,58
195X,N49,3.38,7.0,PFPrA,1.0625093635079734,9.382986354146995,0.10323786728501172,2.013839024194982,59
195X,N49,3.38,7.0,PFHxA,0.8024510189058526,29.044419626512383,0.017628406049241818,1.2462130454068705,59
195X,N49,3.38,7.0,PFHpA,0.6976917300758815,23.829265089740876,0.019278776640755745,1.2850794717335179,59
195X,N49,3.38,7.0,PFOA,1.4865649308307467,23.96113276565153,0.05204067835063913,1.716342948958328,59
195X,N49,3.38,7.0,PFNA,2.8199857411983666,48.85224841275692,0.047724789192343006,1.6787440187251204,59
71X,N50,5.72,7.1,PFPeA,0.2296215922426213,3.315931948044481,0.059247980911682166,1.7726735547858352,60
71X,N50,5.72,7.1,PFHxA,0.42482047489412333,8.936372025790128,0.03753836049664259,1.574475300709142,60
71X,N50,5.72,7.1,PFHpA,0.21615656945313103,3.3920005610158954,0.05372539319049897,1.7301796025690497,60
71X,N50,5.72,7.1,PFNA,1.6844912907514933,15.45080410314885,0.09902288835622455,1.9957355899299778,60
173X,N51,5.13,6.8,PFPeA,0.14612354133339572,6.575788220807609,0.012221448809896358,1.0871226930461846,61
173X,N51,5.13,6.8,PFHxA,0.2641781155904209,9.081375249138771,0.019090100160267482,1.2808082070179392,61
173X,N51,5.13,6.8,PFHpA,0.20621994088485968,12.485839055398001,0.0065163061905482945,0.8140014829018652,61
173X,N51,5.13,6.8,PFOA,1.2358795570042003,38.344980603028674,0.022230543282804126,1.3469500763670448,61
173X,N51,5.13,6.8,PFHxS,0.2671716191398691,0.279383435233298,0.9462901211976598,2.976024306294509,61
173X,N51,5.13,6.8,PFNA,0.7824248017334565,16.79963369808221,0.03657392034820232,1.5631715147361387,61
173X,N51,5.13,6.8,PFOS,4.879741955379622,45.894957169860724,0.09632414226511479,1.983735150452377,61
164X,N52,3.96,6.8,PFPeA,3.614353433805988,245.36779150096982,0.00473034994404187,0.6748932703667,62
164X,N52,3.96,6.8,PFBS,1.2115961061710965,1.0457071300201346,1.148638084592354,3.0601832117832988,62
164X,N52,3.96,6.8,PFHxA,1.84548577163121,147.75271528173528,0.002490367896875755,0.39626350925670467,62
164X,N52,3.96,6.8,PFHpA,1.501333264821101,88.97028810907014,0.006874546511309393,0.837244054628591,62
164X,N52,3.96,6.8,6:2 FTS,0.7434372563607184,5.114027292504461,0.13537217223114184,2.131529397816293,62
164X,N52,3.96,6.8,6:2 FTAB,36.67882007432084,441.6020952488864,0.07305852818394962,1.8636709187925746,62
164X,N52,3.96,6.8,PFOA,1.0597237848182406,10.210302196872654,0.09378965914866132,1.9721549575449129,62
164X,N52,3.96,6.8,PFHxS,7.243226619572625,24.374881344492835,0.2871594617099185,2.4581231305621936,62
164X,N52,3.96,6.8,PFNA,2.2158255475092767,26.713156022030585,0.07294884908701409,1.8630184444254696,62
164X,N52,3.96,6.8,PFOS,11.193560630454396,96.47529267543499,0.10602515338421518,2.0254089094163037,62
151X,N53,2.37,5.2,PFPrA,3.3859156701206343,12.669564362086454,0.25724799474976057,2.410351998118599,63
151X,N53,2.37,5.2,PFNA,0.8614245770131568,6.732933213808901,0.11794194590352078,2.0716682888495357,63
156X,N54,8.31,7.2,PFPeA,0.32957274113064017,16.346830476981054,0.01016126255146104,1.0069476730135027,64
156X,N54,8.31,7.2,PFHpA,0.1285305722192021,0.7874533559480184,0.1532230928325445,2.1853242243954534,64
156X,N54,8.31,7.2,PFNA,0.17722531357832372,1.0190160178460164,0.1639180841857034,2.214626869548583,64
160X,N55,5.76,6.8,PFHxA,0.736373193326604,29.135639397453904,0.015273967160334705,1.1839518525163666,65
160X,N55,5.76,6.8,PFHpA,0.20580110762249035,6.727341066863077,0.020591745769544326,1.3136931676932948,65
160X,N55,5.76,6.8,PFOA,0.7587038490088631,1.184962812116657,0.6302765059382897,2.799531118752579,65
160X,N55,5.76,6.8,PFNA,0.6973024913798507,4.063043468402092,0.16162073130713633,2.208497067545141,65
184X,N56,7.57,7.1,PFPeA,0.06757883808184913,4.383859623038885,0.005415374554124884,0.7336284999574723,66
184X,N56,7.57,7.1,PFDA,0.336091245713684,2.297739349942316,0.13627039647561479,2.134401519490726,66
184X,N56,7.57,7.1,PFOS,1.6098913029542992,2.0297852848563895,0.7831337934929414,2.893835964882864,66
184X,N56,7.57,7.1,PFUnDA,0.1993294201563452,3.0259051924286005,0.05587431114996792,1.7472121819455964,66
207X,N57,2.89,6.8,PFPeA,0.23794090619017405,12.37879533694337,0.00922165281140576,0.9648087673163707,67
207X,N57,2.89,6.8,PFHxA,0.2496980006821619,7.645414080868404,0.022659840008796485,1.3552568391751219,67
207X,N57,2.89,6.8,PFHpA,0.2454808079530753,19.459791608348105,0.0026147706457332184,0.4174336007899635,67
207X,N57,2.89,6.8,PFOA,1.021973691027009,21.272167960966467,0.03804276145723782,1.5802720340832608,67
207X,N57,2.89,6.8,PFNA,1.484058740013051,22.806702326093447,0.05507116718558298,1.7409242810733714,67
207X,N57,2.89,6.8,PFOS,2.644777407802266,11.102375491962809,0.22821725447106916,2.358348476358667,67
166X,N58,5.78,6.9,PFPeA,0.30960052752676476,1.860042694803146,0.15644807583813589,2.1943702261078513,68
100X,N59,4.08,7.1,PFPrA,0.8590245177477117,6.2,0.12855234157221154,2.1090799916955554,69
100X,N59,4.08,7.1,PFPeA,0.636712420303327,21.37,0.01979468508672564,1.296548596960402,69
100X,N59,4.08,7.1,PFHxA,2.17319408298698,116.06,0.008724746536162157,0.9407528190644476,69
100X,N59,4.08,7.1,PFHpA,0.2694393229780388,6.95,0.02876824791050918,1.4589134126039631,69
100X,N59,4.08,7.1,PFHxS,1.9804048954608036,5.95,0.32284115890097537,2.508988897624018,69
100X,N59,4.08,7.1,PFNA,7.412206856807655,154.77,0.03789175458297897,1.5785447158071426,69
100X,N59,4.08,7.1,PFOS,1.7972748460248111,0.11,16.328862236589192,4.2129559249947555,69
100X,N59,4.08,7.1,PFUnDA,5.694696904424121,7.21,0.7798331351489766,2.892001684438308,69
106X,N60,3.43,7.2,6:2 FTS,3.1680702754409307,46.8,0.057693809304293395,1.7611292147289475,70
106X,N60,3.43,7.2,6:2 FTAB,51.83129467231844,354.42,0.13624257850098315,2.1343128544066268,70
106X,N60,3.43,7.2,PFNA,1.7449595352838325,30.05,0.04806853694788128,1.6818609037984722,70
115X,N61,5.72,6.8,PFHxA,2.4587241957461545,181.66,0.003534758316339065,0.5483597249310704,71
115X,N61,5.72,6.8,PFHpA,0.2728525173018727,17.94,0.005209170418164587,0.7167685656219535,71
115X,N61,5.72,6.8,PFOA,0.5228916041323604,3.46,0.14112474107871686,2.149603158134529,71
115X,N61,5.72,6.8,PFHxS,0.30880145728415453,5.96,0.041812325047676936,1.6213043179283417,71
115X,N61,5.72,6.8,PFNA,9.516281294500033,277.96,0.024236153743344483,1.384463698803629,71
115X,N61,5.72,6.8,PFDA,3.7865382907165572,25.98,0.13574820210610306,2.1327340863598225,71
115X,N61,5.72,6.8,PFUnDA,0.5453377352617228,16.35,0.02335398992426439,1.36836108850222,71
121X,N62,3.28,7.0,PFPeA,0.17563426983837124,9.8,0.007921864269221554,0.8988273970643493,72
121X,N62,3.28,7.0,PFHxA,0.8985350388896675,47.11,0.009073127550194597,0.957757016240038,72
121X,N62,3.28,7.0,PFHpA,0.18548653964308048,6.68,0.01776744605435337,1.2496250055084586,72
121X,N62,3.28,7.0,PFHxS,0.10189773327274088,1.24,0.07217559134898459,1.85839035082846,72
121X,N62,3.28,7.0,PFNA,2.886062350576993,66.88,0.03315284615097179,1.5205208182491594,72
121X,N62,3.28,7.0,PFUnDA,1.4745052329851043,2.05,0.7092708453585875,2.8508121085019726,72
132X,N63,5.27,7.0,PFPrA,6.083981516369093,5.8,1.0389623304084643,3.0165998016550484,73
132X,N63,5.27,7.0,PFPeA,0.28765172451244325,5.73,0.040200999042311204,1.6042368459494378,73
132X,N63,5.27,7.0,PFBS,0.22301194048354445,0.948,0.2252446629573254,2.352654509415171,73
132X,N63,5.27,7.0,6:2 FTS,1.7047675178557138,10.92,0.14611424156187855,2.1646925481061263,73
132X,N63,5.27,7.0,PFHxS,1.4287220670102037,0.83,1.711351887964101,3.23333931830104,73
132X,N63,5.27,7.0,PFNA,0.9977236435820511,3.67,0.26185930342835184,2.4180680082769177,73
138X,N64,5.54,6.8,PFPeA,0.3028237012957119,17.57,0.007235270420928395,0.8594547676765132,74
138X,N64,5.54,6.8,PFHxA,2.373535375974373,130.45,0.008194981801260047,0.9135479934622085,74
138X,N64,5.54,6.8,PFHpA,0.24185184514747846,10.81,0.012372973649165444,1.0924740880060553,74
138X,N64,5.54,6.8,PFNA,4.158205343205232,118.07,0.02521813621754241,1.4017129862677082,74
138X,N64,5.54,6.8,PFDA,1.7122298932608981,7.68,0.21294660068501278,2.3282707117235764,74
138X,N64,5.54,6.8,PFOS,1.5807554290069428,2.33,0.668435806440748,2.825059705917829,74
138X,N64,5.54,6.8,PFUnDA,7.4384305774402115,9.49,0.77381776369233,2.888638695125479,74
147X,N65,2.38,7.5,PFPeA,0.1966318063503828,8.02,0.014517681589823294,1.161897266974348,75
147X,N65,2.38,7.5,PFBS,0.2678196972167533,0.758,0.3433241388083817,2.535704339349822,75
147X,N65,2.38,7.5,PFHxS,2.8291558725639745,1.2,2.347629893803312,3.3706296310132697,75
147X,N65,2.38,7.5,PFNA,1.8347788495099906,163.49,0.001222575383876632,0.08727564717585366,75
147X,N65,2.38,7.5,PFOS,0.7791989976385492,7.46,0.09445026777996637,1.9752031935463321,75
