ENTRY (NUMBER),First author (name),publication (year),Scientific (Journal),DOI (number),matrix (used),Sample name (tag),PFAS (abreviation),PFAS (Subfamily),Empirical (Formula),MW ([g/mol]),pKa1 ([-]),pKa2 ([-]),f(+) ([-]),f(+-) ([-]),f(- + -) ([-]),f(-) ([-]),f(- -) ([-]),f (0) ([-]),sum ([-]),charge [+] / mol ([C/mol]),charge [-] / mol ([C/mol]),Effective MW ([g/mol]),Faraday (C/mol),net charge density ([C/g]),C number ([n]),F number ([n]),C/F ([-]),%F ([%]),CF2 ([n]),log (S),log (Kow),pH (measured),pH (method),Fe ((g/kg)),Fe ((mmol/kg)),Fe (%),Al ((g/kg)),Al ((mmol/kg)),Al (%),Fe/Al (method),CEC (cmol+/kg),CEC (method),Sand (% mineral),Silt (% mineral),Clay (% mineral),Texture (method),Sum (% mineral),Corg (%),foc,Batch information (Contact solution),SL min (g/L),SL max (g/L),Cin min (ppb),Cin max (ppb),Kd (L/Kg),Koc (L/Kg OC),log Koc ([-]),log Kd ([-]),Comments on the derivation of Kd (from literature studies),KFr (reported),KFr (reported units),1/n ([-]),Harmonized KFr ((ug/kg)/(ug/L)^(1/n)),Cw (ug/L),Cs (ug/kg),Kd (L/kg),,
21,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,5,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,1.9912875921420541E-3,0.99800791966198887,7.9274586906595983E-7,0,0,0,1,1,-0.99800950515372699,570.08729049484612,96485,0.33688331321321957,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,5,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,16,Summation (pH7),4.8,72,23,not reported,99.8,1,0.01,artificial groundwater,100,-,1.0261535399999999,250.83753199999998,74,7400,3.8692317197309762,1.8692317197309762,Reported Kd at Cw = 8.8 nM,,,,,,,,,
22,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,6,6:2 FtSaB,Zwitterionic,C15H19F13N2O4S,570.08529999999996,2.2999999999999998,11.1,1.2573409304470879E-3,0.99874140172862269,1.257340930447089E-6,0,0,0,1.0000000000000002,1.0000000000000002,-0.99874391641048355,570.08655608358958,96485,0.21258741122943875,15,13,0.72874493927125494,43.326849508310431,6,3.3010299956639813,4.8,5.2,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,16,Summation (pH7),3.6,73,24,not reported,100.6,9.8000000000000004E-2,9.7999999999999997E-4,artificial groundwater,100,-,1.0261535399999999,250.83753199999998,90,91836.734693877559,4.9630164337468301,1.954242509439325,Reported Kd at Cw = 8.8 nM,,,,,,,,,
23,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,1,8:2 FtSaB,Zwitterionic,C17H19F17N2O4S,670.07889999999998,2.2999999999999998,11.1,1.5823837009219599E-3,0.99841661788246017,9.9841661788246018E-7,0,0,0,1,1,-0.99841861471569593,670.08048138528432,96485,0.22770393019155494,17,17,0.63157894736842102,48.203278748219056,8,1.4999618655961902,6.2,5.0999999999999996,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,14,Summation (pH7),6.3,71,22,not reported,99.3,1.5,1.4999999999999999E-2,artificial groundwater,100,-,0.32163787199999994,48915.759699999995,120,8000,3.9030899869919438,2.0791812460476247,Reported Kd at Cw = 8.8 nM,,,,,,,,,
24,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,2,8:2 FtSaB,Zwitterionic,C17H19F17N2O4S,670.07889999999998,2.2999999999999998,11.1,6.3055790544878248E-4,0.99936693179831504,2.5102962360835482E-6,0,0,0,0.99999999999999989,0.99999999999999989,-0.99937195239078724,670.07952804760919,96485,9.0432808403268575E-2,17,17,0.63157894736842102,48.203278748219056,8,1.4999618655961902,6.2,5.5,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,22,Summation (pH7),10,64,26,not reported,100,0.12,1.1999999999999999E-3,artificial groundwater,100,-,0.32163787199999994,87.110257000000004,170,141666.66666666669,5.151267675330649,2.2304489213782741,Reported Kd at Cw = 110 nM,,,,,,,,,
25,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,3,8:2 FtSaB,Zwitterionic,C17H19F17N2O4S,670.07889999999998,2.2999999999999998,11.1,1.5823837009219599E-3,0.99841661788246017,9.9841661788246018E-7,0,0,0,1,1,-0.99841861471569593,670.08048138528432,96485,0.22770393019155494,17,17,0.63157894736842102,48.203278748219056,8,1.4999618655961902,6.2,5.0999999999999996,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,17,Summation (pH7),14,39,48,not reported,101,2.2999999999999998,2.3E-2,artificial groundwater,100,-,0.32163787199999994,87.110257000000004,34,1478.2608695652175,3.1697510810246623,1.5314789170422551,Reported Kd at Cw = 8.8 nM,,,,,,,,,
26,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,4,8:2 FtSaB,Zwitterionic,C17H19F17N2O4S,670.07889999999998,2.2999999999999998,11.1,1.9912875921420541E-3,0.99800791966198887,7.9274586906595983E-7,0,0,0,1,1,-0.99800950515372699,670.08089049484624,96485,0.28661150909828559,17,17,0.63157894736842102,48.203278748219056,8,1.4999618655961902,6.2,5,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,36,Summation (pH7),37,45,18,not reported,100,7.7,7.6999999999999999E-2,artificial groundwater,100,-,0.32163787199999994,87.110257000000004,61,792.20779220779218,2.8988391098382853,1.7853298350107671,Reported Kd at Cw = 8.8 nM,,,,,,,,,
27,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,6,8:2 FtSaB,Zwitterionic,C17H19F17N2O4S,670.07889999999998,2.2999999999999998,11.1,1.2573409304470879E-3,0.99874140172862269,1.257340930447089E-6,0,0,0,1.0000000000000002,1.0000000000000002,-0.99874391641048355,670.0801560835896,96485,0.18086377284003349,17,17,0.63157894736842102,48.203278748219056,8,1.4999618655961902,6.2,5.2,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,16,Summation (pH7),3.6,73,24,not reported,100.6,9.8000000000000004E-2,9.7999999999999997E-4,artificial groundwater,100,-,0.32163787199999994,87.110257000000004,400,408163.26530612248,5.6108339156354674,2.6020599913279625,Reported Kd at Cw = 8.8 nM,,,,,,,,,
28,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,1,10:2 FtSaB,Zwitterionic,C19H19F21N2O4S,770.07249999999999,2.2999999999999998,11.1,1.5823837009219599E-3,0.99841661788246017,9.9841661788246018E-7,0,0,0,1,1,-0.99841861471569593,770.07408138528433,96485,0.1981367284581278,19,21,0.5714285714285714,51.813303292871772,10,-0.30980391997148632,7.5,5.0999999999999996,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,14,Summation (pH7),6.3,71,22,not reported,99.3,1.5,1.4999999999999999E-2,artificial groundwater,100,-,0.14631377499999998,20021.884999999998,240,16000,4.204119982655925,2.3802112417116059,Reported Kd at Cw = 110 nM,,,,,,,,,
29,Brazen-Hanson,2017,Environmental Science and Technology, 10.1021/acs.est.7b03452,soil,2,10:2 FtSaB,Zwitterionic,C19H19F21N2O4S,770.07249999999999,2.2999999999999998,11.1,6.3055790544878248E-4,0.99936693179831504,2.5102962360835482E-6,0,0,0,0.99999999999999989,0.99999999999999989,-0.99937195239078724,770.07312804760909,96485,7.8690154698055778E-2,19,21,0.5714285714285714,51.813303292871772,10,-0.30980391997148632,7.5,5.5,1:100 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,22,Summation (pH7),10,64,26,not reported,100,0.12,1.1999999999999999E-3,artificial groundwater,100,-,0.14631377499999998,36.963479999999997,93,77500,4.8893017025063106,1.968482948553935,Reported Kd at Cw = 110 nM,,,,,,,,,
31,Mejia-Avendaño,2021,Environmental Science and Technology, 10.1021/acs.est.9b04989,soil,ID1,PFOSB,Zwitterionic,C15H15F17N2O4S,642.04769999999996,2.2999999999999998,6.8,8.4901972195357403E-7,0.15097942902670158,0.84901972195357645,0,0,0,1,1,-1.8490188729338546,641.19868112706615,96485,-127.75694705271761,15,17,0.55727554179566563,50.307788658070109,6,1.2615007731982801,4.5999999999999996,7.55,1:10 deionized water,not reported,not reported,not reported,not reported,not reported,not reported,not reported,2.52,BaCl2-TEA (pH 8.2),45.3,30,24.7,Pipette,100,3.4,3.4000000000000002E-2,50 mM CaCl2 + 0.2 g/L NaN3,100,-,3.2102385,3210.2384999999999,0.59500000000000008,17.5,1.2430380486862944,-0.22548303427145036,Calculated in this study from reported Koc at Cw = 10 nM,,,,,,,,,
